_id,name,asset_type,tags,location_id,street_address,unit,unit_type,municipality,city,state,zip_code,latitude,longitude,parcel_id,residence,iffy_geocoding,available_transportation,parent_location_id,parent_location,url,email,phone,hours_of_operation,holiday_hours_of_operation,periodicity,capacity,wifi_network,internet_access,computers_available,accessibility,open_to_public,child_friendly,sensitive,do_not_display,localizability,services,hard_to_count_population,data_source_names,data_source_urls,organization_name,organization_phone,organization_email,etl_notes,geocoding_properties
35630881,Giant Eagle #641,supermarkets,,16982,1025 Washington Pike,,,,Bridgeville,PA,15017,40.367163,-80.110119,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630882,Giant Eagle #0093,supermarkets,,84625,600 Towne Square Way,,,,Pittsburgh,PA,15227,40.3656415083411,-79.9834038578078,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630883,Giant Eagle #24 ,supermarkets,,84612,3239 Washington Pike,,,,Bridgeville,PA,15017,40.34106021,-80.11828257,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630884,Giant Eagle #068,supermarkets,,84599,5990 University Boulevard,,,,Coraopolis,PA,15108,40.5217743173523,-80.2205626401866,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630885,Giant Eagle #1691,supermarkets,,84515,400 Northtowne  Square,,,,Gibsonia,PA,15044,40.6364706790034,-79.9422997344717,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630886,Giant Eagle #17,supermarkets,,84503,6320 Shakespeare St,,,,Pittsburgh,PA,15206,40.4586694165469,-79.920755192051,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630887,Giant Eagle #18,supermarkets,,84598,1671 Butler Plank Road,,,,Glenshaw,PA,15116,40.5375454030348,-79.9649148718196,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630888,Giant Eagle #2,supermarkets,,84511,1800 McKees Rocks Rd,,,,Mc Kees Rocks,PA,15136,40.4677890700157,-80.0976432288596,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630889,Giant Eagle #29,supermarkets,,84608,1356 Hoffman Boulevard,,,,West Mifflin,PA,15122,40.3842655281108,-79.8681439041393,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630890,Giant Eagle #31,supermarkets,,84560,5260  Grove Road,,,,Pittsburgh,PA,15236,40.3573973996838,-80.0022768909744,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630891,Giant Eagle #35,supermarkets,,84631,1717 Cochran  Road,,,,Pittsburgh,PA,15220,40.3927229216368,-80.0647269863152,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630892,Giant Eagle #37,supermarkets,,84479,5 Quaker Village Shopping Center,,,,Leetsdale,PA,15056,40.559414,-80.203569,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'confidence': 0.8, 'accuracy': 'point', 'match_type': 'fallback', 'layer': 'address', 'label': '8A Quaker Village Shopping Center, Leetsdale, PA, USA'}"
35630893,Giant Eagle #38,supermarkets,,84504,1901 Murray Avenue,,,,Pittsburgh,PA,15217,40.4356644808696,-79.9225606363348,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630894,Shop 'n Save #0212100,supermarkets,,84633,4548 Broadway  Boulevard,,,,Monroeville,PA,15146,40.389146494909,-79.7671915533704,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630895,Giant Eagle #60,supermarkets,,84507,4010 Monroeville Boulevard,,,,Monroeville,PA,15146,40.432094206355,-79.7726641316603,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630896,Giant Eagle #605 Elizabeth Township,supermarkets,,84542,800 McKeesport  Road,,,,Elizabeth,PA,15037,40.2799239290416,-79.875698354338,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630897,Giant Eagle #61,supermarkets,,84456,2021 Wharton  Street,,,,Pittsburgh,PA,15203,40.4311319291128,-79.9766070844995,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630898,Giant Eagle #619,supermarkets,,84546,1705 Braddock Avenue,,,,Pittsburgh,PA,15218,40.427317,-79.890896,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'confidence': 0.8, 'accuracy': 'point', 'match_type': 'interpolated', 'layer': 'address', 'label': '1705 South Braddock Avenue, Pittsburgh, PA, USA'}"
35630899,Giant Eagle #63,supermarkets,,84505,4250  Murray Ave,,,,Pittsburgh,PA,15217,40.422252855852,-79.9294231858365,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630900,Giant Eagle #6379,supermarkets,,84553,420 E Waterfront Dr,,,,Homestead,PA,15120,40.4110092447386,-79.9084912857073,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630901,Giant Eagle #646,supermarkets,,82425,51 Walsh Road,,,,Pittsburgh,PA,15205,40.4405981739094,-80.0720081639852,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630902,Giant Eagle #65,supermarkets,,84490,4110 Brighton Road,,,,Pittsburgh,PA,15212,40.4892632674544,-80.0434660161438,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630903,Giant Eagle #69,supermarkets,,84611,9001 Frankstown  Road,,,,Pittsburgh,PA,15235,40.4626672982706,-79.8652581449567,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630904,Giant Eagle #695,supermarkets,,84510,200 Allegheny River Boulevard,,,,Verona,PA,15147,40.4992344638881,-79.8444725515873,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630905,Giant Eagle #74,supermarkets,,84470,1165 McKinney Lane #100,,,,Pittsburgh,PA,15220,40.4230005232593,-80.0350228161454,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
35630906,Giant Eagle #77,supermarkets,,84472,254 Yost  Boulevard,,,,Pittsburgh,PA,15221,40.4144911501518,-79.8552918228808,,,,,,,,,,,,,,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
